IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.242.59.216,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,3215 kB/s
8.222.153.11,2083,true,LAX,North America,Los Angeles,412 ms,2577 kB/s
110.11.25.32,10602,true,HKG,Asia Pacific,Hong Kong,129 ms,1754 kB/s
180.70.218.108,10411,true,ICN,Asia Pacific,Seoul,108 ms,1740 kB/s
38.207.164.31,26925,true,HKG,Asia Pacific,Hong Kong,61 ms,1738 kB/s
172.247.123.93,34237,true,LAX,North America,Los Angeles,199 ms,1708 kB/s
47.242.59.216,2053,true,HKG,Asia Pacific,Hong Kong,73 ms,1510 kB/s
185.148.106.44,2083,true,SJC,North America,San Jose,172 ms,1502 kB/s
159.65.165.75,8443,true,EWR,North America,Newark,261 ms,1496 kB/s
47.242.59.216,443,true,HKG,Asia Pacific,Hong Kong,68 ms,1430 kB/s
204.93.210.6,2087,true,SJC,North America,San Jose,183 ms,1267 kB/s
4.193.57.231,500,true,SIN,Asia Pacific,Singapore,94 ms,1254 kB/s
45.133.247.151,443,true,SJC,North America,San Jose,178 ms,1126 kB/s
45.133.247.196,2083,true,SJC,North America,San Jose,174 ms,1046 kB/s
35.240.184.147,8092,true,SIN,Asia Pacific,Singapore,102 ms,901 kB/s
211.75.74.232,4443,true,KIX,Asia Pacific,Osaka,74 ms,867 kB/s
47.242.59.216,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,859 kB/s
101.36.118.159,9988,true,HKG,Asia Pacific,Hong Kong,47 ms,739 kB/s
20.247.109.61,10022,true,SIN,Asia Pacific,Singapore,128 ms,701 kB/s
47.242.232.14,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,555 kB/s
149.129.8.215,443,true,SJC,North America,San Jose,92 ms,464 kB/s
8.210.13.126,11319,true,MNL,Asia Pacific,Manila,59 ms,446 kB/s
8.218.148.106,443,true,HKG,Asia Pacific,Hong Kong,64 ms,433 kB/s
47.242.149.43,13380,true,HKG,Asia Pacific,Hong Kong,56 ms,409 kB/s
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,77 ms,392 kB/s
45.66.216.109,6162,true,HKG,Asia Pacific,Hong Kong,86 ms,381 kB/s
47.91.31.235,8443,true,HKG,Asia Pacific,Hong Kong,236 ms,304 kB/s
47.91.2.5,2083,true,NRT,Asia Pacific,Tokyo,165 ms,272 kB/s
43.198.53.11,443,true,HKG,Asia Pacific,Hong Kong,142 ms,270 kB/s
8.218.50.93,8082,true,HKG,Asia Pacific,Hong Kong,57 ms,218 kB/s
47.74.41.87,2087,true,NRT,Asia Pacific,Tokyo,148 ms,206 kB/s
47.74.13.200,2083,true,HKG,Asia Pacific,Hong Kong,216 ms,181 kB/s
47.74.5.150,2083,true,HKG,Asia Pacific,Hong Kong,227 ms,163 kB/s
47.74.49.62,2053,true,HKG,Asia Pacific,Hong Kong,245 ms,131 kB/s
47.254.66.75,443,true,SJC,North America,San Jose,183 ms,128 kB/s
66.42.103.115,6969,true,LAX,North America,Los Angeles,200 ms,125 kB/s
47.88.58.5,22175,true,SJC,North America,San Jose,183 ms,118 kB/s
47.74.5.150,2053,true,HKG,Asia Pacific,Hong Kong,218 ms,109 kB/s
38.55.99.62,58916,true,HKG,Asia Pacific,Hong Kong,111 ms,99 kB/s
47.74.49.62,2096,true,HKG,Asia Pacific,Hong Kong,219 ms,96 kB/s
47.245.37.12,2053,true,HKG,Asia Pacific,Hong Kong,259 ms,64 kB/s
8.210.119.191,81,true,TPE,Asia Pacific,Taipei,60 ms,54 kB/s
47.245.37.12,2096,true,HKG,Asia Pacific,Hong Kong,231 ms,48 kB/s
47.88.101.9,80,true,SJC,North America,San Jose,167 ms,42 kB/s
47.254.66.75,80,true,SJC,North America,San Jose,187 ms,42 kB/s
164.152.17.14,443,true,ORD,North America,Chicago,250 ms,38 kB/s
43.154.196.20,65432,true,HKG,Asia Pacific,Hong Kong,75 ms,31 kB/s
47.74.6.55,8443,true,NRT,Asia Pacific,Tokyo,127 ms,13 kB/s
47.74.12.139,2087,true,LAX,North America,Los Angeles,234 ms,13 kB/s
47.245.59.167,2083,true,NRT,Asia Pacific,Tokyo,135 ms,9 kB/s
47.245.59.167,2087,true,NRT,Asia Pacific,Tokyo,127 ms,3 kB/s
47.245.52.165,2087,true,HKG,Asia Pacific,Hong Kong,243 ms,0 kB/s
140.238.26.92,20855,true,NRT,Asia Pacific,Tokyo,72 ms,0 kB/s
18.183.137.85,2083,true,HKG,Asia Pacific,Hong Kong,71 ms,0 kB/s
14.52.249.135,10082,true,FUK,Asia Pacific,Fukuoka,97 ms,0 kB/s
103.232.214.11,8443,true,NRT,Asia Pacific,Tokyo,83 ms,0 kB/s
18.183.158.211,443,true,NRT,Asia Pacific,Tokyo,76 ms,0 kB/s
47.76.33.40,2053,true,HKG,Asia Pacific,Hong Kong,70 ms,0 kB/s
154.219.5.92,443,true,SJC,North America,San Jose,177 ms,0 kB/s
199.181.197.39,443,true,SJC,North America,San Jose,176 ms,0 kB/s
104.18.77.36,443,true,SJC,North America,San Jose,177 ms,0 kB/s
114.214.202.60,8443,true,HKG,Asia Pacific,Hong Kong,122 ms,0 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,77 ms,0 kB/s
47.91.31.235,2053,true,HKG,Asia Pacific,Hong Kong,229 ms,0 kB/s
8.209.220.50,21373,true,NRT,Asia Pacific,Tokyo,154 ms,0 kB/s
16.162.37.167,443,true,HKG,Asia Pacific,Hong Kong,146 ms,0 kB/s
18.181.252.44,9002,true,NRT,Asia Pacific,Tokyo,73 ms,0 kB/s
222.233.248.165,38344,true,HKG,Asia Pacific,Hong Kong,115 ms,0 kB/s
8.209.246.24,2053,true,HKG,Asia Pacific,Hong Kong,238 ms,0 kB/s
175.121.23.104,38422,true,HKG,Asia Pacific,Hong Kong,130 ms,0 kB/s
